val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,label
98,98,97,98,97,97,100,97,98,98,98,99,95,96,96,97,93,92,95,95,93,95,97,96,99,99,99,100,97,99,warning
96,99,98,99,96,100,96,99,100,97,96,94,94,97,94,94,91,90,94,95,98,97,98,99,99,99,99,98,97,99,warning
97,97,97,99,98,98,96,98,96,97,97,97,97,97,98,97,98,97,95,96,97,93,93,91,94,90,92,95,98,98,warning
97,97,96,97,98,96,97,95,95,98,97,96,96,98,96,98,98,96,98,94,98,98,97,96,95,95,96,97,99,97,okay
97,98,97,98,98,93,98,97,93,92,94,91,91,92,89,88,93,96,97,98,97,98,96,97,98,96,95,96,98,96,warning
96,96,96,98,97,97,98,97,97,97,99,98,98,96,96,97,96,96,97,97,98,98,97,97,97,96,98,99,98,98,okay
95,96,96,95,97,95,96,94,97,98,98,98,97,96,93,94,97,95,94,96,92,91,93,96,96,96,97,95,98,95,warning
92,95,97,97,99,98,100,98,97,98,97,98,98,98,98,98,97,96,98,97,98,97,97,98,98,98,98,100,99,98,okay
99,98,97,96,98,98,97,96,96,98,98,97,99,96,95,95,97,96,95,92,93,91,92,91,90,85,88,91,88,87,bad
97,96,98,97,97,97,98,97,98,100,100,98,98,100,98,97,99,99,97,96,99,98,98,97,99,97,98,99,98,97,okay
95,98,97,94,94,96,97,95,96,97,98,95,95,96,95,98,97,97,97,95,95,95,96,96,94,97,97,96,95,97,okay
99,100,100,96,95,94,95,96,95,91,93,91,92,91,89,89,85,85,91,96,98,100,99,99,98,98,98,99,99,97,bad
99,97,98,96,95,97,98,98,96,98,96,98,93,96,97,95,97,97,96,97,98,96,98,96,97,97,98,98,98,97,okay
99,96,97,96,97,97,97,99,97,97,96,99,96,96,97,97,96,96,96,96,98,99,97,95,99,97,99,99,98,97,okay
98,97,100,99,98,96,98,97,98,99,99,98,99,98,97,99,97,98,97,99,98,99,100,97,97,98,99,98,98,97,okay
98,98,97,98,98,97,100,97,96,98,98,98,98,99,99,100,98,96,98,100,98,99,98,98,97,98,99,97,98,96,okay
96,99,97,99,98,98,99,96,96,97,97,97,97,97,97,94,96,96,96,99,97,97,96,95,93,97,97,97,97,97,okay
98,96,98,98,98,98,99,99,99,100,99,98,97,97,97,97,99,98,99,98,97,96,99,99,100,98,97,98,97,97,okay
97,97,97,97,98,100,96,96,95,94,94,95,94,92,91,93,93,92,92,88,88,93,88,89,90,89,91,97,97,97,bad
95,97,98,96,92,92,94,94,93,93,95,93,91,91,91,90,89,92,95,98,97,96,98,97,98,97,97,98,97,98,warning
97,97,96,98,95,95,95,98,97,96,95,96,96,95,95,96,96,97,97,96,97,97,97,93,96,97,96,98,95,95,okay
97,98,98,96,98,97,96,99,98,98,96,98,97,96,96,93,94,97,95,96,94,91,95,97,97,96,96,95,97,100,warning
95,94,98,97,96,95,95,94,96,96,95,97,97,95,95,96,95,95,96,98,96,97,98,96,95,95,96,96,96,96,okay
96,97,96,97,98,97,97,95,96,98,96,98,97,96,96,97,98,97,96,97,98,97,97,98,96,98,97,97,96,97,okay
97,98,96,98,98,99,98,96,97,97,97,98,100,98,97,98,96,96,98,97,96,98,96,97,98,96,92,99,98,97,okay
94,96,97,97,95,95,97,96,95,97,95,95,98,96,95,97,97,95,97,95,97,98,97,95,96,97,93,94,98,96,okay
97,97,97,97,97,96,96,96,96,97,98,99,97,97,97,97,96,97,98,97,98,97,98,96,97,97,98,95,96,98,okay
96,95,96,96,96,94,96,94,92,94,89,88,87,87,87,86,84,82,90,98,96,98,96,96,94,95,94,95,96,94,bad
98,98,99,99,98,97,97,98,99,97,99,96,98,98,98,99,97,100,96,99,97,99,97,99,98,97,97,98,97,98,okay
98,99,99,99,98,96,97,97,97,100,97,99,98,98,99,99,97,99,99,97,98,98,99,99,98,98,98,98,97,96,okay
99,96,98,96,97,97,99,97,97,97,96,95,96,93,93,92,90,90,89,88,85,90,95,99,97,97,96,97,98,98,bad
99,97,99,97,98,97,99,96,96,97,97,97,100,97,96,97,97,99,97,96,95,97,97,97,96,96,97,98,97,97,okay
99,99,99,97,100,98,99,99,99,100,97,98,99,99,100,97,95,99,99,99,95,98,98,99,97,99,98,99,97,98,okay
98,96,96,97,96,98,97,98,97,96,95,97,98,96,98,99,99,96,97,95,98,96,97,96,97,96,97,96,96,96,okay
96,95,97,97,98,97,97,97,97,95,96,95,96,96,95,95,98,96,96,97,98,95,97,96,98,96,96,96,95,95,okay
99,98,98,98,99,98,98,96,96,96,97,94,92,93,90,93,93,89,88,88,86,90,91,98,98,96,97,99,98,98,bad
97,98,98,99,98,97,97,93,97,97,96,97,96,92,92,91,91,91,93,93,94,99,98,99,96,97,97,98,97,97,warning
99,96,96,97,99,95,97,97,98,98,98,97,97,98,97,96,98,98,97,98,98,97,96,95,98,97,97,100,96,98,okay
97,98,98,97,97,99,96,99,100,98,97,99,100,99,97,100,98,99,100,98,98,99,98,98,98,97,99,99,97,98,okay
98,97,97,94,96,98,98,99,96,96,98,99,99,96,95,97,96,95,97,96,97,98,96,97,97,97,96,98,98,97,okay
97,97,96,93,96,95,94,94,93,96,94,95,93,92,94,90,95,92,94,91,97,98,97,96,97,98,99,97,97,97,warning
99,97,95,98,96,97,99,98,98,97,99,96,98,99,96,97,95,98,96,97,96,98,96,98,97,96,95,96,97,96,okay
97,97,98,98,96,97,98,97,98,97,99,99,100,98,99,97,98,98,99,97,99,99,96,97,100,98,99,97,99,99,okay
98,96,97,95,95,98,97,95,98,96,96,98,97,94,97,98,97,96,98,98,99,98,97,97,98,96,97,98,96,96,okay
96,99,95,97,98,95,96,97,96,97,95,97,97,97,98,97,96,96,96,96,96,95,96,94,96,97,96,97,96,95,okay
97,97,95,96,95,94,95,95,96,96,95,95,95,97,95,95,95,96,94,95,96,95,96,96,97,94,97,96,98,96,okay
97,97,98,98,96,95,98,97,97,98,94,97,96,98,96,95,95,92,93,93,93,91,94,95,98,96,100,96,98,95,warning
97,98,97,96,98,97,98,97,95,92,96,93,98,98,96,97,97,98,97,96,97,97,97,98,96,98,98,97,98,97,okay
98,99,98,100,98,100,100,99,99,98,99,99,99,99,94,97,92,95,92,94,93,89,90,91,91,88,87,90,92,98,bad
95,95,93,95,95,95,95,93,96,95,95,96,95,96,95,95,96,94,94,95,94,95,95,94,95,94,96,95,95,94,okay
97,96,98,99,97,97,96,95,97,97,94,96,97,96,98,98,96,98,96,97,97,96,96,96,97,97,97,95,99,98,okay
96,96,98,97,96,95,95,96,94,94,94,93,94,94,94,93,94,97,97,96,97,98,96,96,96,95,97,96,96,94,warning
98,100,100,99,99,97,98,99,99,97,100,98,98,98,98,99,98,98,98,98,98,95,97,98,99,96,98,97,99,99,okay
98,100,99,100,100,98,98,100,95,95,96,94,94,95,94,93,92,93,93,94,98,98,99,97,98,98,98,99,97,98,warning
95,96,93,91,94,90,91,89,88,89,88,92,99,96,98,98,99,96,97,98,97,97,96,97,98,98,97,98,96,96,bad
97,96,96,95,94,92,92,94,91,93,92,94,97,94,96,98,93,97,96,96,96,96,97,94,96,96,95,97,97,94,warning
97,96,99,97,97,97,97,99,96,96,97,98,97,96,95,97,98,96,97,96,95,97,97,96,96,97,98,97,97,96,okay
99,95,98,96,97,97,98,99,95,98,94,95,95,96,96,93,97,93,93,90,93,95,93,90,95,98,98,97,97,96,warning
95,96,98,97,95,96,96,96,98,97,96,95,95,92,96,91,94,94,95,97,92,93,95,93,94,96,94,97,97,95,warning
98,98,97,98,97,97,96,96,97,94,98,96,96,99,96,99,97,97,96,96,97,96,96,96,95,97,97,96,96,95,okay
99,97,94,91,91,91,86,87,82,85,90,98,97,96,95,97,97,97,96,100,96,96,96,98,97,98,96,97,96,95,bad
95,97,96,96,95,97,94,95,96,96,97,97,95,95,93,93,92,89,90,88,89,87,87,87,91,97,96,96,97,98,bad
96,96,97,94,97,96,96,96,95,94,93,94,94,93,96,94,90,94,94,91,93,93,95,96,96,96,94,96,97,96,warning
98,96,95,97,98,98,97,96,98,94,97,96,98,98,94,96,93,90,91,92,89,87,92,98,99,97,98,96,98,96,bad
97,96,96,98,96,96,96,97,98,96,96,96,95,98,95,94,95,94,95,95,97,96,94,95,96,97,98,96,93,95,okay
98,97,98,97,99,99,99,98,98,96,100,99,97,98,97,98,98,99,97,97,94,96,93,90,94,92,95,99,99,98,warning
97,100,100,99,100,99,100,98,99,99,99,99,99,100,99,99,100,98,99,100,100,99,99,99,100,99,99,100,99,99,okay
98,97,97,97,100,96,96,95,97,99,98,98,96,97,96,97,98,96,95,99,96,99,95,96,96,100,97,99,97,97,okay
99,99,98,98,98,97,98,100,99,95,95,95,96,95,97,94,93,95,94,93,94,90,94,98,98,98,98,99,96,100,warning
97,99,98,98,99,99,100,98,98,97,97,97,97,97,97,99,99,96,100,99,97,99,99,97,99,97,96,97,98,99,okay
95,96,95,98,97,99,95,96,95,97,97,96,95,97,98,96,97,99,97,97,98,95,98,96,99,98,96,99,98,98,okay
97,96,98,98,96,97,97,97,97,97,97,97,97,99,97,96,97,96,95,96,99,97,97,98,95,97,97,98,96,95,okay
91,97,98,97,95,96,97,95,99,97,97,98,96,98,97,96,98,96,97,97,96,96,96,99,97,96,96,98,97,97,okay
97,95,97,95,96,98,96,95,96,95,97,97,95,97,96,96,97,95,95,94,95,98,95,95,96,96,97,96,96,96,okay
98,97,97,95,99,96,97,97,95,96,97,97,98,99,97,97,98,98,98,98,96,96,92,97,97,97,96,98,97,96,okay
96,97,97,97,96,97,96,97,96,96,97,97,98,97,97,99,98,98,98,98,98,96,99,94,97,98,98,96,99,99,okay
97,98,98,98,98,98,95,97,95,96,98,97,97,96,97,99,98,96,99,96,98,94,93,96,96,98,96,96,97,97,okay
98,97,98,100,97,92,96,97,95,95,94,93,93,93,95,97,96,97,97,97,98,98,96,96,95,99,98,97,97,96,warning
95,99,92,97,96,98,98,95,99,98,97,96,96,96,97,98,97,97,97,97,97,97,95,97,98,96,96,99,98,97,okay
98,96,96,96,97,96,92,96,96,96,97,96,99,98,97,96,96,98,96,97,96,97,97,95,98,96,96,97,96,97,okay
97,98,96,98,98,97,97,95,97,95,94,97,98,96,98,97,92,97,95,95,95,94,94,95,94,93,96,97,97,97,warning
99,97,98,97,99,98,98,98,98,98,97,98,97,97,96,96,98,93,97,96,99,99,98,97,97,97,97,97,97,97,okay
97,97,97,92,96,95,91,92,96,90,93,93,90,94,90,91,94,98,96,97,98,97,96,97,96,98,98,97,97,96,warning
97,100,97,100,97,96,96,95,97,97,95,97,97,98,99,95,94,94,90,93,88,87,85,83,89,98,98,96,96,97,bad
96,94,93,95,94,93,94,92,94,89,91,92,87,87,88,85,86,93,97,96,95,96,96,98,96,98,96,96,95,97,bad
97,98,99,99,97,98,98,98,97,95,96,95,92,93,92,90,89,88,87,85,84,85,85,84,90,98,98,99,99,99,bad
98,99,99,97,99,98,96,98,99,99,98,99,100,98,98,98,97,97,94,93,94,91,91,90,89,97,100,98,98,97,warning
97,98,97,97,96,96,97,96,98,97,97,97,95,96,99,97,99,98,97,97,95,98,97,96,97,95,96,97,97,97,okay
99,99,98,97,96,94,94,94,93,95,93,94,93,94,91,92,90,91,88,96,99,97,97,98,98,97,99,100,98,100,warning
95,97,99,98,97,98,97,96,97,98,99,97,97,99,97,98,96,97,97,96,97,97,98,97,98,96,96,97,96,96,okay
99,95,96,96,96,97,97,97,98,96,96,98,97,98,97,93,98,97,98,97,96,99,96,96,97,96,97,98,96,96,okay
99,98,98,97,96,97,96,96,97,98,98,96,98,98,97,97,97,97,97,96,97,97,97,97,98,96,97,97,99,98,okay
95,94,95,96,96,97,98,95,97,97,97,97,95,97,96,96,96,95,94,96,99,96,98,96,97,98,97,97,96,96,okay
98,97,95,98,98,100,97,97,98,99,99,98,99,96,97,98,99,97,98,97,99,98,98,99,98,97,98,97,98,98,okay
95,95,96,97,96,97,94,96,95,95,96,96,97,99,97,94,96,95,90,94,93,93,89,94,97,95,96,96,95,96,warning
96,97,99,97,97,97,97,98,97,96,98,97,99,96,97,97,96,98,96,94,97,96,98,97,97,96,97,97,97,96,okay
98,98,97,98,97,95,95,96,96,96,95,93,93,95,91,93,92,92,89,89,95,98,96,97,97,98,98,98,99,97,warning
98,95,96,96,96,99,96,96,94,97,96,93,97,93,94,97,97,96,95,96,94,94,96,97,96,96,94,96,96,98,okay
99,98,97,98,96,98,98,99,97,96,98,97,96,96,98,95,98,94,93,95,96,93,94,96,95,94,92,95,97,96,warning
96,96,96,95,95,95,95,94,95,96,95,94,95,97,96,95,96,94,94,92,93,94,92,93,92,89,86,93,96,94,warning
98,97,97,97,96,95,96,98,99,95,97,99,97,96,98,95,96,96,96,98,99,98,97,98,95,97,98,97,96,98,okay
97,95,97,96,98,98,98,98,96,96,95,98,98,98,97,97,99,95,94,94,96,93,93,95,95,93,92,90,90,93,warning
97,99,97,97,97,97,97,96,99,98,97,96,97,96,96,97,98,98,98,95,98,98,96,97,97,98,98,98,97,97,okay
97,98,98,97,99,97,99,97,95,97,96,98,96,96,97,96,97,96,97,98,97,97,95,98,97,99,97,98,97,97,okay
97,98,97,96,98,97,97,96,97,97,96,97,96,98,97,97,99,96,97,98,97,93,97,96,97,98,96,96,93,99,okay
95,96,97,96,98,96,98,96,97,98,97,96,96,96,95,92,94,92,93,92,91,90,90,86,87,88,89,92,98,98,bad
97,95,98,97,97,98,98,99,98,98,98,99,98,98,99,95,98,99,97,95,98,97,97,96,99,96,97,98,97,97,okay
97,97,95,96,97,96,98,97,97,95,98,98,97,97,98,95,98,95,96,99,98,96,95,95,96,98,96,96,98,98,okay
99,98,98,99,99,98,98,99,96,95,95,96,94,94,95,93,90,91,95,99,98,98,99,98,99,99,98,98,100,99,warning
98,99,100,97,99,98,98,97,98,97,99,99,97,98,99,98,97,99,97,100,98,98,96,98,98,98,98,99,98,98,okay
99,97,98,100,99,97,99,100,97,98,98,99,97,98,98,97,97,99,99,99,98,98,98,98,98,99,98,98,99,98,okay
100,98,98,100,99,99,99,98,100,98,100,98,100,100,100,98,98,100,97,96,96,97,95,95,98,95,96,93,94,96,warning
96,95,95,94,96,95,96,96,96,96,97,96,97,97,98,96,96,92,95,96,94,94,94,96,94,95,98,97,94,97,warning
98,96,98,97,96,97,97,97,95,97,97,96,97,97,97,98,97,98,96,96,98,96,94,93,98,94,97,92,94,92,warning
95,97,96,96,97,98,97,96,95,97,97,96,95,97,96,95,95,97,94,94,96,95,98,95,95,95,97,97,97,97,okay
96,98,97,95,97,96,96,95,96,98,96,97,97,97,96,97,96,96,97,95,97,96,97,95,97,97,94,97,96,95,okay
97,98,96,98,97,97,97,96,99,96,97,96,95,98,94,91,92,95,96,93,90,90,89,92,95,95,95,98,98,98,warning
96,97,96,96,98,97,97,97,97,98,96,97,97,96,96,97,97,96,96,98,96,96,98,97,96,99,97,97,97,96,okay
99,100,99,99,100,97,99,99,99,99,99,99,99,99,98,99,100,98,99,100,98,98,100,99,100,99,99,99,99,98,okay
95,96,94,96,94,95,97,97,96,98,96,95,96,98,97,97,96,95,93,90,91,89,84,87,83,82,91,96,95,96,bad
93,95,94,95,95,96,96,96,96,95,93,92,90,88,87,87,86,84,87,94,95,95,95,95,94,95,94,98,95,94,bad
94,95,97,95,97,95,95,97,95,96,98,96,96,96,97,96,96,93,96,96,95,96,96,97,96,97,96,98,95,95,okay
97,95,97,97,98,97,97,98,96,97,95,96,97,97,99,93,92,92,93,87,89,92,88,91,98,97,97,97,97,97,bad
97,97,97,96,99,97,97,98,98,99,96,95,95,98,97,96,93,97,94,91,92,90,88,88,92,98,98,99,97,96,bad
98,98,98,99,98,99,98,98,98,99,96,97,95,97,97,94,97,95,94,94,92,93,94,92,92,94,98,99,99,99,warning
98,98,96,97,100,100,99,98,99,94,96,94,94,92,94,90,94,96,99,100,99,97,98,97,98,100,99,100,98,97,warning
96,98,97,97,98,96,96,99,98,98,97,95,98,97,97,98,97,96,97,97,97,97,97,97,99,97,97,99,100,99,okay
96,97,96,96,96,95,93,96,91,96,93,93,93,92,95,93,94,94,92,94,93,95,94,98,96,97,96,97,96,96,warning
98,96,97,98,95,97,96,96,96,97,92,96,96,97,96,96,98,96,96,97,97,97,96,96,96,95,95,96,96,97,okay
98,96,98,98,97,97,97,98,98,96,95,97,96,97,97,95,96,98,97,96,96,97,96,97,99,98,97,97,98,97,okay
94,98,95,97,95,96,96,95,96,96,95,97,96,95,95,97,96,95,95,97,97,95,96,95,97,94,96,98,97,98,okay
97,97,96,98,97,97,95,96,96,98,94,96,97,96,94,91,92,96,94,92,95,96,98,98,97,98,95,97,98,96,warning
97,97,96,95,96,97,96,95,97,96,95,96,96,96,96,97,97,95,97,97,94,97,95,96,96,96,96,97,97,96,okay
98,96,96,99,96,97,97,96,95,97,96,95,96,92,93,93,95,92,93,92,93,88,89,90,88,93,97,97,97,96,warning
100,96,97,96,99,100,98,97,96,97,96,97,99,97,96,96,97,96,97,98,95,96,96,99,98,97,96,96,97,100,okay
93,98,98,99,98,97,98,98,97,96,98,97,96,96,96,98,98,97,97,95,96,98,98,97,97,95,97,96,97,98,okay
97,96,97,96,99,97,95,96,97,98,98,97,99,98,97,96,97,96,96,97,97,96,97,97,98,96,98,97,97,97,okay
97,97,100,95,95,96,99,97,96,97,97,97,97,98,96,97,98,97,98,97,96,96,96,96,98,98,97,97,95,96,okay
97,96,98,98,97,98,95,97,97,98,98,97,98,97,97,96,97,96,98,96,96,97,99,96,97,97,97,95,98,99,okay
97,97,97,97,96,93,94,96,97,95,95,93,93,95,92,95,95,95,97,99,98,97,97,98,98,98,98,98,100,98,warning
98,98,98,98,98,96,96,99,97,99,98,96,94,96,91,92,92,92,90,88,86,84,86,86,88,97,97,98,98,96,bad
97,99,96,98,97,98,97,98,97,96,98,97,97,96,97,97,97,96,94,91,90,92,88,89,86,90,88,91,95,96,bad
98,97,96,99,96,97,94,97,93,93,96,93,94,93,92,92,91,91,90,95,99,98,98,97,98,99,98,98,98,98,warning
95,96,96,100,97,97,96,96,95,92,92,93,92,94,91,93,93,91,91,92,89,93,88,90,87,91,96,97,95,99,bad
97,98,96,98,97,98,97,99,97,96,95,93,91,92,96,94,97,94,93,93,92,95,95,96,96,98,100,98,98,98,warning
98,99,97,98,99,98,98,100,98,98,97,99,97,99,98,98,99,98,99,97,93,94,91,89,89,88,84,91,98,99,bad
97,96,97,98,97,98,97,98,95,97,96,94,92,94,94,95,90,93,94,91,91,90,89,92,97,97,97,97,97,97,bad
96,95,97,96,94,97,95,97,91,97,96,96,93,94,96,95,95,95,96,96,95,97,96,96,96,94,96,97,97,96,warning
97,98,97,97,97,97,96,98,96,99,94,97,97,98,97,99,96,95,99,98,98,98,98,96,96,98,97,96,98,96,okay
95,96,96,96,97,97,98,97,94,96,95,95,95,97,96,96,97,95,96,96,96,97,96,97,95,96,97,96,96,97,okay
96,94,96,96,95,97,96,96,95,97,96,97,95,97,95,96,96,97,95,96,96,95,94,96,97,94,95,95,96,97,okay
96,96,95,96,96,96,97,98,95,96,97,97,94,95,93,95,93,90,91,88,88,84,86,90,96,98,97,95,96,97,bad
98,98,98,97,95,97,95,95,95,92,94,94,95,92,90,88,89,92,92,91,88,85,88,86,86,91,97,96,97,98,bad
96,97,98,96,99,98,100,97,99,97,97,96,95,97,96,98,98,99,97,97,98,97,98,97,97,96,97,96,97,96,okay
94,96,96,93,98,97,95,94,94,93,94,97,96,95,97,98,95,96,97,96,97,96,97,96,97,95,96,98,97,96,warning
98,99,97,100,98,98,97,98,97,97,96,93,95,93,94,92,93,92,90,88,94,86,89,86,87,86,85,84,90,97,bad
99,99,97,99,100,98,99,99,98,100,96,98,99,98,99,98,99,98,98,100,98,97,99,97,95,97,98,99,99,97,okay
98,99,98,98,97,98,97,98,96,96,96,97,97,96,96,96,98,97,97,98,98,96,97,98,96,97,97,98,96,99,okay
97,95,96,97,97,95,94,94,90,93,92,93,88,92,91,89,88,85,87,85,87,86,83,90,96,96,96,97,96,96,bad
99,97,98,95,95,92,95,94,90,89,86,87,85,90,96,100,97,99,96,97,97,97,97,96,97,97,97,99,98,97,bad
96,97,98,97,97,97,97,96,98,93,98,97,96,97,97,97,98,98,97,98,96,98,96,96,96,96,96,97,96,96,okay
91,96,92,94,94,97,90,92,91,93,93,92,93,98,96,96,96,95,97,97,96,97,96,95,96,96,97,96,95,95,warning
96,97,95,98,97,98,96,96,96,96,96,96,97,97,97,99,97,94,98,95,97,97,97,97,95,97,95,97,96,97,okay
94,94,97,95,97,97,96,96,98,97,96,99,96,96,95,91,94,91,89,89,89,89,93,97,97,96,96,96,95,96,bad
98,98,96,98,97,97,96,96,96,93,97,94,95,95,94,94,94,92,93,91,94,94,94,95,97,96,96,98,97,98,warning
97,97,98,98,99,97,99,97,98,97,96,95,97,93,93,96,93,92,89,92,91,89,91,90,87,87,88,89,84,85,bad
98,97,99,98,98,97,100,99,95,98,97,97,98,97,100,97,98,98,99,97,97,98,98,99,95,99,98,97,95,100,okay
92,96,99,97,97,98,97,97,98,97,97,96,97,98,95,97,97,98,98,96,98,96,98,96,97,96,97,95,96,98,okay
97,97,98,96,97,96,96,96,97,99,98,96,95,97,97,97,97,97,99,98,99,97,97,99,99,100,98,96,96,98,okay
96,95,97,96,96,96,96,95,94,95,97,96,96,97,98,95,94,97,95,96,96,96,96,97,95,95,96,96,96,96,okay
95,94,97,95,97,97,95,97,97,94,93,94,95,93,94,95,93,88,93,98,95,97,97,95,97,97,96,95,97,96,warning
98,98,97,98,97,98,97,99,97,97,99,96,97,97,99,99,97,96,97,96,98,96,98,97,99,94,97,96,96,96,okay
99,98,99,99,98,98,97,98,99,97,99,99,98,98,98,97,98,100,98,96,98,98,99,98,96,98,99,99,97,98,okay
97,98,97,97,96,98,98,96,98,96,95,97,96,97,94,94,96,92,93,93,91,91,94,93,92,92,91,95,94,97,warning
98,98,97,98,97,98,97,97,97,98,95,97,98,98,94,97,97,97,96,97,96,97,98,97,97,97,96,98,97,95,okay
98,98,97,96,94,96,95,93,92,90,94,89,88,86,88,87,87,92,98,97,98,96,100,99,97,99,98,98,97,98,bad
98,98,99,98,99,98,97,99,99,97,97,98,95,94,92,94,91,92,91,91,90,89,86,90,97,99,98,98,100,99,bad
98,99,97,98,99,98,98,97,98,97,96,98,100,97,97,98,97,99,99,97,98,98,97,96,98,99,98,98,97,98,okay
98,97,96,97,98,96,98,98,97,95,94,96,94,93,91,91,92,95,97,95,97,96,96,96,97,97,98,96,97,99,warning
97,96,96,94,97,97,98,97,96,97,97,98,97,98,97,97,97,96,98,96,99,98,98,96,100,98,97,96,95,97,okay
