behavior_category,behavior_value,behavior_type,total_cases,inr_changed_cases,inr_change_rate,comparison_rate,rate_difference,chi2,p_value,impact_score,significance
"If Yes
How often did you eat leafy greens (spinach, kale, etc.) this week?",1-2 times,Categorical,21,11,52.38095238095239,56.9620253164557,4.581072935503315,0.016537109665500184,0.8976767825234335,0.0016921302687368048,Not Significant
"If Yes
What kind of change?",Started keto diet,Categorical,6,4,66.66666666666666,55.319148936170215,11.347517730496442,0.01410380399742105,0.9054659453667031,0.0013332897776295127,Not Significant
Who recommended it?,Pharmacist,Categorical,10,5,50.0,56.666666666666664,6.666666666666664,0.0045093795093794934,0.946460765996684,0.00024142872476242677,Not Significant
Have you started any new antibiotics medicines recommended by a doctor recently?,Yes,Binary,31,18,58.06451612903226,55.072463768115945,2.9920523609163183,0.0037188150792639174,0.9513734740617593,0.00018083305791134747,Not Significant
Who recommended the change?,Doctor,Categorical,8,5,62.5,55.434782608695656,7.065217391304344,0.00022056747600226052,0.9881506416611499,2.6135830610465154e-06,Not Significant
Who recommended it?,Self,Categorical,8,5,62.5,55.434782608695656,7.065217391304344,0.00022056747600226052,0.9881506416611499,2.6135830610465154e-06,Not Significant
Missed Dose Frequency Category,Occasionally (3-5 times),Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
How often do you usually forget to take warfarin in a month?,3-5 times,Categorical,9,5,55.55555555555556,56.043956043956044,0.48840048840048667,0.0,1.0,0.0,Not Significant
On which days did you miss them?,Weekend,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
How often do you usually forget to take warfarin in a month?,More than 5 times,Categorical,8,4,50.0,56.52173913043478,6.521739130434781,0.0,1.0,0.0,Not Significant
On which days did you miss them?,Tuesday,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
Standard Range,2.0-3.0,Categorical,59,33,55.932203389830505,56.09756097560976,0.16535758577925463,0.0,1.0,0.0,Not Significant
Standard Range,2.5-3.5,Categorical,41,23,56.09756097560976,55.932203389830505,0.16535758577925463,0.0,1.0,0.0,Not Significant
What was the reason for missing the dose?,Busy schedule,Categorical,5,3,60.0,55.78947368421052,4.21052631578948,0.0,1.0,0.0,Not Significant
What was your INR value two months ago?,2.16,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Valve Type,Mechanical Mitral,Categorical,41,23,56.09756097560976,55.932203389830505,0.16535758577925463,0.0,1.0,0.0,Not Significant
Valve Type,Mechanical Aortic,Categorical,59,33,55.932203389830505,56.09756097560976,0.16535758577925463,0.0,1.0,0.0,Not Significant
On which days did you consume them?,Daily,Categorical,14,8,57.14285714285714,55.81395348837209,1.328903654485046,0.0,1.0,0.0,Not Significant
"If Yes ,
How many extra doses?",1.0,Categorical,11,6,54.54545454545454,56.17977528089888,1.6343207354443408,0.0,1.0,0.0,Not Significant
Did you take any action after realizing the missed dose?,Other,Categorical,8,4,50.0,56.52173913043478,6.521739130434781,0.0,1.0,0.0,Not Significant
Did you notice any symptoms,Bleeding,Categorical,20,11,55.00000000000001,56.25,1.249999999999993,0.0,1.0,0.0,Not Significant
Leafy Greens Consumption Category,Moderate (3-4 times),Categorical,31,17,54.83870967741935,56.52173913043478,1.683029453015429,0.0,1.0,0.0,Not Significant
Usual portion size:,10g-15g,Categorical,13,7,53.84615384615385,56.32183908045977,2.475685234305921,0.0,1.0,0.0,Not Significant
Usual portion size:,20g-25g,Categorical,11,6,54.54545454545454,56.17977528089888,1.6343207354443408,0.0,1.0,0.0,Not Significant
When did you make these changes?,1 month ago,Categorical,8,4,50.0,56.52173913043478,6.521739130434781,0.0,1.0,0.0,Not Significant
"If Yes
What kind of change?",Increased green leaves,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
"If Yes
What kind of change?",Reduced vitamin K foods,Categorical,6,3,50.0,56.38297872340425,6.38297872340425,0.0,1.0,0.0,Not Significant
Usual portion size:,40g-60g,Categorical,13,7,53.84615384615385,56.32183908045977,2.475685234305921,0.0,1.0,0.0,Not Significant
Portion Size Category,Not specified,Categorical,32,18,56.25,55.88235294117647,0.367647058823529,0.0,1.0,0.0,Not Significant
"If Yes
What kind of change?",Started vegetarian diet,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
When did you make these changes?,6 months ago,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
When did you make these changes?,3 months ago,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
Who recommended the change?,Family,Categorical,5,3,60.0,55.78947368421052,4.21052631578948,0.0,1.0,0.0,Not Significant
Who recommended the change?,Nutritionist,Categorical,6,3,50.0,56.38297872340425,6.38297872340425,0.0,1.0,0.0,Not Significant
Name of the medicine,Cetirizine,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Name of the medicine,Metronidazole,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Name of the medicine,Co-amoxiclav,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Are you still taking it?,Yes,Binary,15,8,53.333333333333336,56.470588235294116,3.1372549019607803,0.0,1.0,0.0,Not Significant
